component	package	version	namespace	command	capability	ui_status	limitation	custom_changes	scope	cli_source	ui_source
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack compute agent create	Нет панели управления Nova guest-agent build records.	no	Это compute agents; Neutron agents и nova-compute services — другие ресурсы.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/agent.py#L31	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L104; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/tables.py#L97
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack compute agent delete	Нет панели управления Nova guest-agent build records.	no	Это compute agents; Neutron agents и nova-compute services — другие ресурсы.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/agent.py#L82	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L104; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/tables.py#L97
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack compute agent list	Нет панели управления Nova guest-agent build records.	no	Это compute agents; Neutron agents и nova-compute services — другие ресурсы.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/agent.py#L124	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L104; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/tables.py#L97
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack compute agent set	Нет панели управления Nova guest-agent build records.	no	Это compute agents; Neutron agents и nova-compute services — другие ресурсы.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/agent.py#L166	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L104; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/tables.py#L97
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack aggregate add host	Manage Hosts добавляет выбранный compute-host в aggregate.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/aggregate.py#L54	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/workflows.py#L202; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/tables.py#L165
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack aggregate create	Create Host Aggregate: имя, AZ, выбор hosts.	partial	--property задаётся отдельным Update Metadata после создания.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/aggregate.py#L87	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/workflows.py#L165; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/tables.py#L68
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack aggregate delete	Удаление aggregate.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/aggregate.py#L135	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/tables.py#L23; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/tables.py#L162
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack aggregate list	Таблица name, AZ, hosts и metadata.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/aggregate.py#L177	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/tables.py#L145
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack aggregate remove host	Manage Hosts удаляет membership хоста.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/aggregate.py#L237	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/workflows.py#L211; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/tables.py#L165
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack aggregate set	Edit Aggregate меняет имя/AZ; Update Metadata добавляет/меняет/удаляет свойства.	yes	Выполняется через отдельные формы; удаление всех свойств — выбор всех в редакторе.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/aggregate.py#L270	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/forms.py#L25; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/tables.py#L68; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/api/rest/nova.py#L684
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack aggregate show	Данные конкретного aggregate доступны в строке таблицы: имя, AZ, hosts, metadata.	yes	Отдельная detail-страница не требуется для этого отображения.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/aggregate.py#L342	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/tables.py#L145
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack aggregate unset	Update Metadata удаляет выбранные свойства aggregate.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/aggregate.py#L371	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/tables.py#L68; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/api/rest/nova.py#L684
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack aggregate cache image	Нет действия предзагрузки image cache на hosts aggregate.	no	Update Metadata не выполняет cache image.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/aggregate.py#L406	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/aggregates/tables.py#L162
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack compute service delete	Нет удаления service record.	no	В Compute Host Table есть только enable/disable, evacuation и migration.	N1	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/service.py#L31	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/tables.py#L139; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L121
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack compute service list	System Information показывает Nova services; Hypervisors показывает compute hosts.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	N1	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/service.py#L78	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L104; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/tables.py#L97
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack compute service set	Enable/Disable nova-compute; при disable можно указать reason.	partial	Нет forced --up/--down; UI actions ограничены nova-compute, а не произвольным binary.	N1	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/service.py#L146	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/tables.py#L40; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/tables.py#L51; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/forms.py#L79
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack console log show	Вкладка Log получает console output; задаётся длина хвоста.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/console.py#L35	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tabs.py#L87
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack console url show	Console открывает VNC, SPICE, RDP, SERIAL или MKS по настройке/AUTO.	partial	Тип выбирается конфигурацией Horizon; нет соответствующего CLI выборщика каждого protocol; отдельный xvpvnc не представлен.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/console.py#L77	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/console.py#L27; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tabs.py#L109; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/api/nova.py#L197
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack flavor create	Create Flavor задаёт ID/name, vCPU, RAM, disk/ephemeral/swap, rxtx и project access.	partial	В штатной Django-форме нет description; extra specs добавляются после создания; отсутствие выбранных projects означает public.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/flavor.py#L57	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/workflows.py#L29; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/workflows.py#L192; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/tables.py#L63
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack flavor delete	Delete Flavor.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/flavor.py#L213	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/tables.py#L31; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/tables.py#L167
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack flavor list	Список flavors с ресурсами, ID, public и extra specs.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/flavor.py#L252	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/tables.py#L138
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack flavor show	Ресурсы/ID/public в таблице; extra specs и project access в соответствующих формах.	partial	Нет полной detail-формы, в частности description не выводится.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/flavor.py#L490	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/tables.py#L138; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/tables.py#L89
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack flavor set	Update Metadata управляет extra specs; Modify Access добавляет projects.	partial	Нет обновления description из CLI --description.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/flavor.py#L374	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/tables.py#L167; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/workflows.py#L242; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/api/rest/nova.py#L641
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack flavor unset	Удаление extra specs и project access.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/flavor.py#L539	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/tables.py#L167; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/flavors/workflows.py#L269; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/api/rest/nova.py#L655
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack host list	System Information отображает host/service/zone; compute hosts видны в Hypervisors.	partial	Это современные service/hypervisor представления; legacy /os-hosts напрямую не вызывается. Команда CLI помечена DEPRECATED.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/host.py#L25	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L104; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/tables.py#L97
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack host set	Нет управления legacy /os-hosts status/maintenance_mode.	no	Compute service disable/enable — отдельная операция; её нельзя приравнивать к legacy host maintenance. CLI DEPRECATED.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/host.py#L57	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/tables.py#L139; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/forms.py#L79
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack host show	Нет legacy /os-hosts/{host} отчёта о ресурсах по projects.	no	Таблицы Hypervisors/Compute Hosts не эквивалентны legacy per-project host resource report. CLI DEPRECATED.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/host.py#L115	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/tables.py#L21; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/views.py#L48
